episode,total_reward,collision,success,steps
0,122.0,0,1,39
1,-80.0,1,0,40
2,-200.0,0,0,100
3,-200.0,0,0,100
4,-200.0,0,0,100
5,-208.0,1,0,4
6,600.0,0,0,100
7,222.0,1,0,39
8,-200.0,0,0,100
9,-100.0,0,0,100
10,-204.0,1,0,2
11,400.0,0,0,100
12,100.0,0,0,100
13,100.0,0,0,100
14,-200.0,0,0,100
15,-200.0,0,0,100
16,-200.0,0,0,100
17,-200.0,0,0,100
18,-200.0,0,0,100
19,500.0,0,0,100
20,-200.0,0,0,100
21,1000.0,0,0,100
22,400.0,0,0,100
23,-200.0,0,0,100
24,1066.0,0,1,67
25,800.0,0,0,100
26,700.0,0,0,100
27,300.0,0,0,100
28,-166.0,1,0,33
29,700.0,0,0,100
30,800.0,0,0,100
31,-200.0,0,0,100
32,600.0,0,0,100
33,-214.0,1,0,7
34,500.0,0,0,100
35,400.0,0,0,100
36,-304.0,1,0,52
37,-200.0,0,0,100
38,-210.0,1,0,5
39,200.0,0,0,100
40,1396.0,0,1,52
41,500.0,0,0,100
42,1900.0,0,0,100
43,520.0,0,1,40
44,400.0,0,0,100
45,432.0,0,1,34
46,132.0,0,1,34
47,-216.0,1,0,8
48,2100.0,0,0,100
49,100.0,0,0,100
50,1900.0,0,0,100
51,320.0,0,1,40
52,1006.0,0,1,97
53,0.0,0,0,100
54,-202.0,1,0,1
55,614.0,0,1,43
56,400.0,0,0,100
57,1400.0,0,0,100
58,2700.0,0,0,100
59,700.0,0,0,100
60,1500.0,0,0,100
61,1182.0,0,1,59
62,1700.0,0,0,100
63,1496.0,0,1,52
64,2900.0,0,0,100
65,742.0,0,1,29
66,2900.0,0,0,100
67,3300.0,0,0,100
68,2500.0,0,0,100
69,2300.0,0,0,100
70,-156.0,1,0,28
71,6700.0,0,0,100
72,1860.0,1,0,70
73,808.0,0,1,46
74,6000.0,0,0,100
75,1600.0,0,0,100
76,5500.0,0,0,100
77,5600.0,0,0,100
78,6000.0,0,0,100
79,388.0,0,1,6
80,4500.0,0,0,100
81,-208.0,1,0,4
82,-224.0,1,0,12
83,6800.0,0,0,100
84,3100.0,0,0,100
85,290.0,0,1,5
86,664.0,0,1,18
87,374.0,0,1,13
88,6400.0,0,0,100
89,4800.0,0,0,100
90,178.0,1,0,11
91,374.0,0,1,13
92,1052.0,0,1,24
93,148.0,1,0,26
94,5400.0,0,0,100
95,5700.0,0,0,100
96,548.0,0,1,26
97,1156.0,1,0,22
98,760.0,0,1,20
99,2800.0,0,0,100
100,4700.0,0,0,100
101,7000.0,0,0,100
102,466.0,0,1,17
103,1900.0,0,0,100
104,-200.0,0,0,100
105,6300.0,0,0,100
106,844.0,0,1,28
107,6800.0,0,0,100
108,190.0,0,1,5
109,3400.0,0,0,100
110,7800.0,0,0,100
111,850.0,0,1,25
112,7700.0,0,0,100
113,1322.0,0,1,39
114,582.0,0,1,9
115,-218.0,1,0,9
116,564.0,0,1,18
117,8700.0,0,0,100
118,7300.0,0,0,100
119,3800.0,0,0,100
120,8500.0,0,0,100
121,8300.0,0,0,100
122,8700.0,0,0,100
123,2900.0,0,0,100
124,384.0,0,1,8
125,4300.0,0,0,100
126,4500.0,0,0,100
127,388.0,0,1,6
128,272.0,0,1,14
129,-200.0,0,0,100
130,7900.0,0,0,100
131,1716.0,0,1,42
132,4400.0,0,0,100
133,870.0,0,1,15
134,1200.0,0,0,100
135,8800.0,0,0,100
136,768.0,0,1,16
137,4200.0,0,0,100
138,380.0,0,1,10
139,1826.0,0,1,37
140,8800.0,0,0,100
141,6200.0,0,0,100
142,-200.0,0,0,100
143,4600.0,0,0,100
144,284.0,0,1,8
145,4400.0,0,0,100
146,292.0,0,1,4
147,4200.0,0,0,100
148,370.0,0,1,15
149,4300.0,0,0,100
150,8600.0,0,0,100
151,2304.0,0,1,48
152,2378.0,0,1,61
153,1284.0,0,1,58
154,-8.0,1,0,4
155,6500.0,0,0,100
156,7900.0,0,0,100
157,3900.0,0,0,100
158,4500.0,0,0,100
159,4100.0,0,0,100
160,484.0,0,1,8
161,582.0,0,1,9
162,9200.0,0,0,100
163,188.0,0,1,6
164,290.0,0,1,5
165,288.0,0,1,6
166,-214.0,1,0,7
167,9000.0,0,0,100
168,370.0,0,1,15
169,292.0,0,1,4
170,2114.0,0,1,43
171,184.0,0,1,8
172,2688.0,0,1,56
173,-248.0,1,0,24
174,9300.0,0,0,100
175,4600.0,0,0,100
176,374.0,0,1,13
177,376.0,0,1,12
178,2776.0,0,1,62
179,3200.0,0,0,100
180,2700.0,0,0,100
181,4300.0,0,0,100
182,4400.0,0,0,100
183,2700.0,0,0,100
184,964.0,0,1,18
185,8700.0,0,0,100
186,4600.0,0,0,100
187,-210.0,1,0,5
188,564.0,0,1,18
189,8900.0,0,0,100
190,8200.0,0,0,100
191,2390.0,1,0,55
192,8800.0,0,0,100
193,4500.0,0,0,100
194,8700.0,0,0,100
195,9100.0,0,0,100
196,8700.0,0,0,100
197,-202.0,1,0,1
198,188.0,0,1,6
199,3100.0,0,0,100
