episode,total_reward,collision,success,rolling_reward,rolling_collision
0,122.0,0,1,,
1,-80.0,1,0,,
2,-200.0,0,0,,
3,-200.0,0,0,,
4,-200.0,0,0,,
5,-208.0,1,0,,
6,600.0,0,0,,
7,222.0,1,0,,
8,-200.0,0,0,,
9,-100.0,0,0,,
10,-204.0,1,0,,
11,400.0,0,0,,
12,100.0,0,0,,
13,100.0,0,0,,
14,-200.0,0,0,,
15,-200.0,0,0,,
16,-200.0,0,0,,
17,-200.0,0,0,,
18,-200.0,0,0,,
19,500.0,0,0,-17.4,0.2
20,-200.0,0,0,-33.5,0.2
21,1000.0,0,0,20.5,0.15
22,400.0,0,0,50.5,0.15
23,-200.0,0,0,50.5,0.15
24,1066.0,0,1,113.8,0.15
25,800.0,0,0,164.2,0.1
26,700.0,0,0,169.2,0.1
27,300.0,0,0,173.1,0.05
28,-166.0,1,0,174.8,0.1
29,700.0,0,0,214.8,0.1
30,800.0,0,0,265.0,0.05
31,-200.0,0,0,235.0,0.05
32,600.0,0,0,260.0,0.05
33,-214.0,1,0,244.3,0.1
34,500.0,0,0,279.3,0.1
35,400.0,0,0,309.3,0.1
36,-304.0,1,0,304.1,0.15
37,-200.0,0,0,304.1,0.15
38,-210.0,1,0,303.6,0.2
39,200.0,0,0,288.6,0.2
40,1396.0,0,1,368.4,0.2
41,500.0,0,0,343.4,0.2
42,1900.0,0,0,418.4,0.2
43,520.0,0,1,454.4,0.2
44,400.0,0,0,421.1,0.2
45,432.0,0,1,402.7,0.2
46,132.0,0,1,374.3,0.2
47,-216.0,1,0,348.5,0.25
48,2100.0,0,0,461.8,0.2
49,100.0,0,0,431.8,0.2
50,1900.0,0,0,486.8,0.2
51,320.0,0,1,512.8,0.2
52,1006.0,0,1,533.1,0.2
53,0.0,0,0,543.8,0.15
54,-202.0,1,0,508.7,0.2
55,614.0,0,1,519.4,0.2
56,400.0,0,0,554.6,0.15
57,1400.0,0,0,634.6,0.15
58,2700.0,0,0,780.1,0.1
59,700.0,0,0,805.1,0.1
60,1500.0,0,0,810.3,0.1
61,1182.0,0,1,844.4,0.1
62,1700.0,0,0,834.4,0.1
63,1496.0,0,1,883.2,0.1
64,2900.0,0,0,1008.2,0.1
65,742.0,0,1,1023.7,0.1
66,2900.0,0,0,1162.1,0.1
67,3300.0,0,0,1337.9,0.05
68,2500.0,0,0,1357.9,0.05
69,2300.0,0,0,1467.9,0.05
70,-156.0,1,0,1365.1,0.1
71,6700.0,0,0,1684.1,0.1
72,1860.0,1,0,1726.8,0.15
73,808.0,0,1,1767.2,0.15
74,6000.0,0,0,2077.3,0.1
75,1600.0,0,0,2126.6,0.1
76,5500.0,0,0,2381.6,0.1
77,5600.0,0,0,2591.6,0.1
78,6000.0,0,0,2756.6,0.1
79,388.0,0,1,2741.0,0.1
80,4500.0,0,0,2891.0,0.1
81,-208.0,1,0,2821.5,0.15
82,-224.0,1,0,2725.3,0.2
83,6800.0,0,0,2990.5,0.2
84,3100.0,0,0,3000.5,0.2
85,290.0,0,1,2977.9,0.2
86,664.0,0,1,2866.1,0.2
87,374.0,0,1,2719.8,0.2
88,6400.0,0,0,2914.8,0.2
89,4800.0,0,0,3039.8,0.2
90,178.0,1,0,3056.5,0.2
91,374.0,0,1,2740.2,0.2
92,1052.0,0,1,2699.8,0.15
93,148.0,1,0,2666.8,0.2
94,5400.0,0,0,2636.8,0.2
95,5700.0,0,0,2841.8,0.2
96,548.0,0,1,2594.2,0.2
97,1156.0,1,0,2372.0,0.25
98,760.0,0,1,2110.0,0.25
99,2800.0,0,0,2230.6,0.25
100,4700.0,0,0,2240.6,0.25
101,7000.0,0,0,2601.0,0.2
102,466.0,0,1,2635.5,0.15
103,1900.0,0,0,2390.5,0.15
104,-200.0,0,0,2225.5,0.15
105,6300.0,0,0,2526.0,0.15
106,844.0,0,1,2535.0,0.15
107,6800.0,0,0,2856.3,0.15
108,190.0,0,1,2545.8,0.15
109,3400.0,0,0,2475.8,0.15
110,7800.0,0,0,2856.9,0.1
111,850.0,0,1,2880.7,0.1
112,7700.0,0,0,3213.1,0.1
113,1322.0,0,1,3271.8,0.05
114,582.0,0,1,3030.9,0.05
115,-218.0,1,0,2735.0,0.1
116,564.0,0,1,2735.8,0.1
117,8700.0,0,0,3113.0,0.05
118,7300.0,0,0,3440.0,0.05
119,3800.0,0,0,3490.0,0.05
120,8500.0,0,0,3680.0,0.05
121,8300.0,0,0,3745.0,0.05
122,8700.0,0,0,4156.7,0.05
123,2900.0,0,0,4206.7,0.05
124,384.0,0,1,4235.9,0.05
125,4300.0,0,0,4135.9,0.05
126,4500.0,0,0,4318.7,0.05
127,388.0,0,1,3998.1,0.05
128,272.0,0,1,4002.2,0.05
129,-200.0,0,0,3822.2,0.05
130,7900.0,0,0,3827.2,0.05
131,1716.0,0,1,3870.5,0.05
132,4400.0,0,0,3705.5,0.05
133,870.0,0,1,3682.9,0.05
134,1200.0,0,0,3713.8,0.05
135,8800.0,0,0,4164.7,0.0
136,768.0,0,1,4174.9,0.0
137,4200.0,0,0,3949.9,0.0
138,380.0,0,1,3603.9,0.0
139,1826.0,0,1,3505.2,0.0
140,8800.0,0,0,3520.2,0.0
141,6200.0,0,0,3415.2,0.0
142,-200.0,0,0,2970.2,0.0
143,4600.0,0,0,3055.2,0.0
144,284.0,0,1,3050.2,0.0
145,4400.0,0,0,3055.2,0.0
146,292.0,0,1,2844.8,0.0
147,4200.0,0,0,3035.4,0.0
148,370.0,0,1,3040.3,0.0
149,4300.0,0,0,3265.3,0.0
150,8600.0,0,0,3300.3,0.0
151,2304.0,0,1,3329.7,0.0
152,2378.0,0,1,3228.6,0.0
153,1284.0,0,1,3249.3,0.0
154,-8.0,1,0,3188.9,0.05
155,6500.0,0,0,3073.9,0.05
156,7900.0,0,0,3430.5,0.05
157,3900.0,0,0,3415.5,0.05
158,4500.0,0,0,3621.5,0.05
159,4100.0,0,0,3735.2,0.05
160,484.0,0,1,3319.4,0.05
161,582.0,0,1,3038.5,0.05
162,9200.0,0,0,3508.5,0.05
163,188.0,0,1,3287.9,0.05
164,290.0,0,1,3288.2,0.05
