episode,total_reward,collision,success,steps
0,-310.0,1,0,55
1,-236.0,1,0,18
2,-370.0,1,0,85
3,-328.0,1,0,64
4,-200.0,0,0,100
5,-200.0,0,0,100
6,0.0,0,0,100
7,-200.0,0,0,100
8,-200.0,0,0,100
9,-200.0,0,0,100
10,-200.0,0,0,100
11,-210.0,1,0,5
12,-200.0,0,0,100
13,-204.0,1,0,2
14,122.0,1,0,39
15,-204.0,1,0,2
16,-200.0,0,0,100
17,-312.0,1,0,56
18,-200.0,0,0,100
19,-230.0,1,0,15
20,-200.0,0,0,100
21,-300.0,1,0,50
22,300.0,0,0,100
23,-200.0,0,0,100
24,-254.0,1,0,27
25,-200.0,0,0,100
26,-200.0,0,0,100
27,800.0,0,0,100
28,-200.0,0,0,100
29,-204.0,1,0,2
30,492.0,1,0,54
31,-200.0,0,0,100
32,500.0,0,0,100
33,-200.0,0,0,100
34,-224.0,1,0,12
35,-266.0,1,0,33
36,2842.0,1,0,79
37,-242.0,1,0,21
38,-242.0,1,0,21
39,400.0,0,0,100
40,300.0,0,0,100
41,-200.0,0,0,100
42,-328.0,1,0,64
43,200.0,0,0,100
44,1842.0,0,1,79
45,-296.0,1,0,98
46,-200.0,0,0,100
47,-200.0,0,0,100
48,2200.0,0,0,100
49,-252.0,1,0,26
50,200.0,0,0,100
51,-200.0,0,0,100
52,812.0,0,1,44
53,0.0,0,0,100
54,-310.0,1,0,55
55,1900.0,0,0,100
56,-254.0,1,0,27
57,-200.0,0,0,100
58,940.0,1,0,30
59,400.0,0,0,100
60,-200.0,0,0,100
61,-200.0,0,0,100
62,400.0,0,0,100
63,1300.0,0,0,100
64,-190.0,1,0,45
65,1100.0,0,0,100
66,-200.0,0,0,100
67,-100.0,0,0,100
68,4900.0,0,0,100
69,100.0,0,0,100
70,-200.0,0,0,100
71,-356.0,1,0,78
72,-70.0,1,0,85
73,52.0,1,0,24
74,-200.0,0,0,100
75,2000.0,0,0,100
76,200.0,0,0,100
77,-200.0,0,0,100
78,-298.0,1,0,49
79,-200.0,0,0,100
80,-100.0,0,0,100
81,100.0,0,0,100
82,-200.0,0,0,100
83,0.0,0,0,100
84,400.0,0,0,100
85,-224.0,1,0,12
86,-200.0,0,0,100
87,-200.0,0,0,100
88,1800.0,0,0,100
89,-150.0,1,0,25
90,-200.0,0,0,100
91,-200.0,0,0,100
92,-200.0,0,0,100
93,-264.0,1,0,32
94,-100.0,0,0,100
95,2800.0,0,0,100
96,800.0,0,0,100
97,-200.0,0,0,100
98,-248.0,1,0,24
99,-200.0,0,0,100
100,-200.0,0,0,100
101,-200.0,0,0,100
102,-200.0,0,0,100
103,2190.0,0,1,55
104,-200.0,0,0,100
105,-200.0,0,0,100
106,-200.0,0,0,100
107,-200.0,0,0,100
108,-302.0,1,0,51
109,1200.0,0,0,100
110,1400.0,0,0,100
111,-152.0,1,0,76
112,-200.0,0,0,100
113,-200.0,0,0,100
114,2000.0,0,0,100
115,2500.0,0,0,100
116,9400.0,0,0,100
117,-200.0,0,0,100
118,-200.0,0,0,100
119,-200.0,0,0,100
120,-200.0,0,0,100
121,-200.0,0,0,100
122,5420.0,1,0,90
123,0.0,0,0,100
124,-200.0,0,0,100
125,-200.0,0,0,100
126,-200.0,0,0,100
127,3400.0,0,0,100
128,-200.0,0,0,100
129,-200.0,0,0,100
130,-100.0,0,0,100
131,-200.0,0,0,100
132,-100.0,0,0,100
133,-200.0,0,0,100
134,-200.0,0,0,100
135,-200.0,0,0,100
136,-238.0,1,0,19
137,-200.0,0,0,100
138,-200.0,0,0,100
139,2100.0,0,0,100
140,-214.0,1,0,7
141,-374.0,1,0,87
142,-200.0,0,0,100
143,-258.0,1,0,29
144,-200.0,0,0,100
145,-200.0,0,0,100
146,-200.0,0,0,100
147,-200.0,0,0,100
148,-200.0,0,0,100
149,-200.0,0,0,100
150,3600.0,0,0,100
151,-200.0,0,0,100
152,-356.0,1,0,78
153,200.0,0,0,100
154,-200.0,0,0,100
155,-200.0,0,0,100
156,-376.0,1,0,88
157,-200.0,0,0,100
158,-200.0,0,0,100
159,-200.0,0,0,100
160,1000.0,0,0,100
161,6200.0,0,0,100
162,-100.0,0,0,100
163,-200.0,0,0,100
164,6200.0,0,0,100
165,2800.0,0,0,100
166,-200.0,0,0,100
167,4600.0,0,0,100
168,-200.0,0,0,100
169,-364.0,1,0,82
170,-200.0,0,0,100
171,-200.0,0,0,100
172,-200.0,0,0,100
173,-202.0,1,0,1
174,-200.0,0,0,100
175,-200.0,0,0,100
176,-200.0,0,0,100
177,3400.0,0,0,100
178,-200.0,0,0,100
179,-200.0,0,0,100
180,-200.0,0,0,100
181,-200.0,0,0,100
182,0.0,0,0,100
183,-200.0,0,0,100
184,-200.0,0,0,100
185,876.0,0,1,12
186,-200.0,0,0,100
187,8700.0,0,0,100
188,-162.0,1,0,31
189,-200.0,0,0,100
190,4000.0,0,0,100
191,-200.0,0,0,100
192,5300.0,0,0,100
193,-200.0,0,0,100
194,-200.0,0,0,100
195,7400.0,0,0,100
196,4100.0,0,0,100
197,-200.0,0,0,100
198,-200.0,0,0,100
199,-200.0,0,0,100
