episode,total_reward,collision,success,rolling_reward,rolling_collision
0,-310.0,1,0,,
1,-236.0,1,0,,
2,-370.0,1,0,,
3,-328.0,1,0,,
4,-200.0,0,0,,
5,-200.0,0,0,,
6,0.0,0,0,,
7,-200.0,0,0,,
8,-200.0,0,0,,
9,-200.0,0,0,,
10,-200.0,0,0,,
11,-210.0,1,0,,
12,-200.0,0,0,,
13,-204.0,1,0,,
14,122.0,1,0,,
15,-204.0,1,0,,
16,-200.0,0,0,,
17,-312.0,1,0,,
18,-200.0,0,0,,
19,-230.0,1,0,-204.1,0.5
20,-200.0,0,0,-198.6,0.45
21,-300.0,1,0,-201.8,0.45
22,300.0,0,0,-168.3,0.4
23,-200.0,0,0,-161.9,0.35
24,-254.0,1,0,-164.6,0.4
25,-200.0,0,0,-164.6,0.4
26,-200.0,0,0,-174.6,0.4
27,800.0,0,0,-124.6,0.4
28,-200.0,0,0,-124.6,0.4
29,-204.0,1,0,-124.8,0.45
30,492.0,1,0,-90.2,0.5
31,-200.0,0,0,-89.7,0.45
32,500.0,0,0,-54.7,0.45
33,-200.0,0,0,-54.5,0.4
34,-224.0,1,0,-71.8,0.4
35,-266.0,1,0,-74.9,0.4
36,2842.0,1,0,77.2,0.45
37,-242.0,1,0,80.7,0.45
38,-242.0,1,0,78.6,0.5
39,400.0,0,0,110.1,0.45
40,300.0,0,0,135.1,0.45
41,-200.0,0,0,140.1,0.4
42,-328.0,1,0,108.7,0.45
43,200.0,0,0,128.7,0.45
44,1842.0,0,1,233.5,0.4
45,-296.0,1,0,228.7,0.45
46,-200.0,0,0,228.7,0.45
47,-200.0,0,0,178.7,0.45
48,2200.0,0,0,298.7,0.45
49,-252.0,1,0,296.3,0.45
50,200.0,0,0,281.7,0.4
51,-200.0,0,0,281.7,0.4
52,812.0,0,1,297.3,0.4
53,0.0,0,0,307.3,0.4
54,-310.0,1,0,303.0,0.4
55,1900.0,0,0,411.3,0.35
56,-254.0,1,0,256.5,0.35
57,-200.0,0,0,258.6,0.3
58,940.0,1,0,317.7,0.3
59,400.0,0,0,317.7,0.3
60,-200.0,0,0,292.7,0.3
61,-200.0,0,0,292.7,0.3
62,400.0,0,0,329.1,0.25
63,1300.0,0,0,384.1,0.25
64,-190.0,1,0,282.5,0.3
65,1100.0,0,0,352.3,0.25
66,-200.0,0,0,352.3,0.25
67,-100.0,0,0,357.3,0.25
68,4900.0,0,0,492.3,0.25
69,100.0,0,0,509.9,0.2
70,-200.0,0,0,489.9,0.2
71,-356.0,1,0,482.1,0.25
72,-70.0,1,0,438.0,0.3
73,52.0,1,0,440.6,0.35
74,-200.0,0,0,446.1,0.3
75,2000.0,0,0,451.1,0.3
76,200.0,0,0,473.8,0.25
77,-200.0,0,0,473.8,0.25
78,-298.0,1,0,411.9,0.25
79,-200.0,0,0,381.9,0.25
80,-100.0,0,0,386.9,0.25
81,100.0,0,0,401.9,0.25
82,-200.0,0,0,371.9,0.25
83,0.0,0,0,306.9,0.25
84,400.0,0,0,336.4,0.2
85,-224.0,1,0,270.2,0.25
86,-200.0,0,0,270.2,0.25
87,-200.0,0,0,265.2,0.25
88,1800.0,0,0,110.2,0.25
89,-150.0,1,0,97.7,0.3
90,-200.0,0,0,97.7,0.3
91,-200.0,0,0,105.5,0.25
92,-200.0,0,0,99.0,0.2
93,-264.0,1,0,83.2,0.2
94,-100.0,0,0,88.2,0.2
95,2800.0,0,0,128.2,0.2
96,800.0,0,0,158.2,0.2
97,-200.0,0,0,158.2,0.2
98,-248.0,1,0,160.7,0.2
99,-200.0,0,0,160.7,0.2
100,-200.0,0,0,155.7,0.2
