episode,total_reward,collision,success,steps
0,-200.0,0,0,100
1,100.0,0,0,100
2,100.0,0,0,100
3,-200.0,0,0,100
4,-200.0,0,0,100
5,400.0,0,0,100
6,-308.0,1,0,54
7,-200.0,0,0,100
8,-368.0,1,0,84
9,500.0,0,0,100
10,-200.0,0,0,100
11,0.0,0,0,100
12,-200.0,0,0,100
13,-100.0,0,0,100
14,-308.0,1,0,54
15,-212.0,1,0,6
16,-200.0,0,0,100
17,-226.0,1,0,13
18,-200.0,0,0,100
19,300.0,0,0,100
20,400.0,0,0,100
21,-258.0,1,0,79
22,-200.0,0,0,100
23,-362.0,1,0,81
24,-200.0,0,0,100
25,-200.0,0,0,100
26,0.0,0,0,100
27,-200.0,0,0,100
28,-200.0,0,0,100
29,-200.0,0,0,100
30,700.0,0,0,100
31,-256.0,1,0,28
32,-246.0,1,0,23
33,800.0,0,0,100
34,-200.0,0,0,100
35,800.0,0,0,100
36,-200.0,0,0,100
37,-206.0,1,0,3
38,200.0,0,0,100
39,-210.0,1,0,5
40,918.0,0,1,91
41,148.0,1,0,76
42,-226.0,1,0,13
43,1000.0,0,0,100
44,-200.0,0,0,100
45,-290.0,1,0,45
46,-200.0,0,0,100
47,-200.0,0,0,100
48,-298.0,1,0,49
49,700.0,0,0,100
50,4500.0,0,0,100
51,1700.0,0,0,100
52,800.0,0,0,100
53,1528.0,1,0,86
54,-200.0,0,0,100
55,-200.0,0,0,100
56,-16.0,1,0,58
57,-166.0,1,0,33
58,1300.0,0,0,100
59,-100.0,0,0,100
60,2968.0,0,1,66
61,2500.0,0,0,100
62,-254.0,1,0,77
63,700.0,0,0,100
64,2518.0,1,0,91
65,-200.0,0,0,100
66,-212.0,1,0,6
67,2500.0,0,0,100
68,3100.0,0,0,100
69,300.0,0,0,100
70,3200.0,0,0,100
71,2004.0,0,1,48
72,3000.0,0,0,100
73,3100.0,0,0,100
74,3932.0,0,1,84
75,-218.0,1,0,9
76,800.0,0,0,100
77,-208.0,1,0,4
78,3700.0,0,0,100
79,4500.0,0,0,100
80,3370.0,0,1,65
81,5500.0,0,0,100
82,-200.0,0,0,100
83,-200.0,0,0,100
84,1500.0,0,0,100
85,200.0,0,0,100
86,4400.0,0,0,100
87,7508.0,0,1,96
88,700.0,0,0,100
89,1800.0,0,0,100
90,-200.0,0,0,100
91,-200.0,0,0,100
92,2000.0,0,0,100
93,2100.0,0,0,100
94,1396.0,0,1,52
95,-200.0,0,0,100
96,2500.0,0,0,100
97,-200.0,0,0,100
98,-200.0,0,0,100
99,2000.0,0,0,100
100,4400.0,0,0,100
101,8000.0,0,0,100
102,816.0,1,0,92
103,-200.0,0,0,100
104,-200.0,0,0,100
105,-312.0,1,0,56
106,4402.0,0,1,49
107,8300.0,0,0,100
108,9300.0,0,0,100
109,9300.0,0,0,100
110,-200.0,0,0,100
111,3100.0,0,0,100
112,-200.0,0,0,100
113,1300.0,0,0,100
114,600.0,0,0,100
115,-200.0,0,0,100
116,-200.0,0,0,100
117,-200.0,0,0,100
118,2600.0,0,0,100
119,-200.0,0,0,100
120,5800.0,0,0,100
121,-200.0,0,0,100
122,7200.0,0,0,100
123,5200.0,0,0,100
124,2292.0,0,1,54
125,-200.0,0,0,100
126,8900.0,0,0,100
127,-200.0,0,0,100
128,1764.0,0,1,18
129,-200.0,0,0,100
130,400.0,0,0,100
131,7700.0,0,0,100
132,-200.0,0,0,100
133,5100.0,0,0,100
134,1800.0,0,0,100
135,3498.0,0,1,51
136,-200.0,0,0,100
137,1300.0,0,0,100
138,-200.0,0,0,100
139,8700.0,0,0,100
140,-200.0,0,0,100
141,3500.0,0,0,100
142,3192.0,0,1,54
143,-200.0,0,0,100
144,9600.0,0,0,100
145,-200.0,0,0,100
146,-200.0,0,0,100
147,7200.0,0,0,100
148,5100.0,0,0,100
149,1600.0,0,0,100
150,-200.0,0,0,100
151,0.0,0,0,100
152,-200.0,0,0,100
153,4580.0,0,1,60
154,-200.0,0,0,100
155,-200.0,0,0,100
156,-204.0,1,0,2
157,5600.0,0,0,100
158,7700.0,0,0,100
159,-202.0,1,0,1
160,2400.0,0,0,100
161,-200.0,0,0,100
162,8500.0,0,0,100
163,3818.0,0,1,41
164,-260.0,1,0,30
165,-274.0,1,0,37
166,-200.0,0,0,100
167,4000.0,0,0,100
168,6000.0,0,0,100
169,8600.0,0,0,100
170,-200.0,0,0,100
171,3700.0,0,0,100
172,-200.0,0,0,100
173,3800.0,0,0,100
174,9300.0,0,0,100
175,4500.0,0,0,100
176,1400.0,0,0,100
177,-200.0,0,0,100
178,4600.0,0,0,100
179,1952.0,0,1,24
180,-200.0,0,0,100
181,4600.0,0,0,100
182,-200.0,0,0,100
183,1056.0,1,0,22
184,-200.0,0,0,100
185,-200.0,0,0,100
186,-200.0,0,0,100
187,-200.0,0,0,100
188,9000.0,0,0,100
189,-200.0,0,0,100
190,9400.0,0,0,100
191,8900.0,0,0,100
192,2500.0,0,0,100
193,-248.0,1,0,24
194,-200.0,0,0,100
195,9300.0,0,0,100
196,-200.0,0,0,100
197,9400.0,0,0,100
198,-262.0,1,0,31
199,886.0,0,1,57
